1,279,110,0.372204
2,994,455,0.664244
3,67,37,0.416241
4,179,516,0
5,840,318,0.41994
6,848,172,0.590273
7,278,109,0.372192
8,808,575,0.793561
9,725,82,0.323119
10,189,779,0.630086
11,694,196,0.333126
12,42,252,0.0322822
13,357,729,0.552451
14,878,753,0.556734
15,637,505,0.805736
16,498,907,0.524498
17,891,48,0.556742
18,792,890,0.638386
19,879,754,0.556742
20,642,386,0.801366
21,454,84,0.343063
22,10,830,0.808079
23,325,352,0.775831
24,438,573,0.485414
25,530,730,0.633879
26,724,83,0.323118
27,152,888,0.537987
28,279,896,0.439809
29,952,868,0.347906
